;Cla/Mod;Mod/Cla;Global;p.value;v.test
crea1=crea1_++;71.13;90.38;24.86;0.00;30.96
crea3=crea3_++;56.14;96.01;33.46;0.00;28.82
crea2=crea2_++;96.70;49.04;9.92;0.00;24.92
mob1=mob1_++;42.28;96.62;44.71;0.00;23.91
inf5=inf5_++;54.87;77.39;27.60;0.00;22.75
ope4=ope4_++;39.34;96.86;48.17;0.00;22.66
mob4=mob4_++;39.95;95.40;46.72;0.00;22.41
mob2=mob2_++;50.48;81.10;31.43;0.00;22.23
soc3=soc3_++;36.91;97.93;51.91;0.00;21.91
soc2=soc2_++;35.79;98.64;53.92;0.00;21.72
mob3=mob3_++;37.90;96.34;49.74;0.00;21.68
inf3=inf3_++;46.68;79.15;33.17;0.00;20.43
inf1=inf1_++;33.60;98.42;57.30;0.00;20.24
soc4=soc4_++;37.78;91.15;47.20;0.00;19.79
inf4=inf4_++;33.40;97.43;57.08;0.00;19.55
inf2=inf2_++;36.77;91.70;48.79;0.00;19.42
ope2=ope2_++;31.31;99.48;62.16;0.00;19.36
ope1=ope1_++;31.24;99.21;62.14;0.00;19.12
ope3=ope3_++;30.17;99.76;64.70;0.00;18.71
aise=aise_++;47.47;67.92;28.00;0.00;18.13
crea4=crea4_++;93.26;26.39;5.54;0.00;16.96
soc1=soc1_++;26.21;100.00;74.66;0.00;15.43
internaute=oui;22.67;100.00;86.30;0.00;10.79
age=18-24;49.57;26.97;10.65;0.00;10.17
ecrit=ecrit_PFPJ;45.12;30.33;13.15;0.00;10.00
csp=csp_Etudiant;55.34;19.64;6.95;0.00;9.37
prof=prof_Etudiant;55.34;19.64;6.95;0.00;9.37
crea4=crea4_+;60.84;12.47;4.01;0.00;8.09
etude=etude_SupLong;31.99;36.41;22.27;0.00;6.97
crea2=crea2_+;49.54;13.55;5.35;0.00;6.95
debInt=>=17an;32.45;34.65;20.89;0.00;6.83
crea4=crea4_-;46.48;14.30;6.02;0.00;6.78
statFam=statFam_célib;31.38;35.65;22.23;0.00;6.58
sexe=Homme;25.57;63.32;48.44;0.00;6.38
csp=csp_CSP+;29.22;41.45;27.76;0.00;6.27
prof=prof_Cadre;35.66;17.60;9.66;0.00;5.43
ecrit=ecrit_jour;30.83;22.68;14.39;0.00;4.76
age=25-34;29.74;24.72;16.27;0.00;4.69
etude=etude_SupCourt;28.86;25.28;17.14;0.00;4.44
nbFoy=3-4p;25.58;41.74;31.92;0.00;4.35
vie=vie_très confortable;45.09;6.21;2.69;0.00;4.17
agglo=8;27.95;23.66;16.57;0.00;3.94
revenu=revenu_DK;43.11;5.64;2.56;0.00;3.85
crea2=crea2_-;30.11;13.61;8.85;0.00;3.41
nbFoy=5p+;30.87;12.91;8.18;0.00;3.39
prof=prof_Artisan;34.02;6.15;3.54;0.00;2.96
actu=actu_PFPJ;21.98;55.97;49.81;0.01;2.64
