;Cla/Mod;Mod/Cla;Global;p.value;v.test
ope3=ope3_--;78.64;96.72;20.68;0.00;34.27
ope1=ope1_--;85.11;92.46;18.27;0.00;34.09
inf2=inf2_--;86.60;88.65;17.21;0.00;33.20
inf1=inf1_--;93.88;81.96;14.68;0.00;32.83
inf3=inf3_--;72.19;96.06;22.38;0.00;32.62
inf4=inf4_--;79.04;91.69;19.50;0.00;32.58
soc1=soc1_--;92.13;80.45;14.68;0.00;31.94
ope2=ope2_--;73.78;89.80;20.47;0.00;30.77
aise=aise_nonInt;91.63;74.67;13.70;0.00;30.26
internaute=non;91.63;74.67;13.70;0.00;30.26
soc2=soc2_--;57.76;93.71;27.28;0.00;28.14
soc4=soc4_--;55.73;93.89;28.33;0.00;27.74
ope4=ope4_--;49.24;98.45;33.62;0.00;27.51
soc3=soc3_--;51.97;96.29;31.16;0.00;27.43
mob4=mob4_--;45.04;97.41;36.37;0.00;25.74
crea3=crea3_--;43.48;98.80;38.21;0.00;25.73
mob3=mob3_--;47.63;94.14;33.23;0.00;25.28
mob1=mob1_--;43.77;97.10;37.30;0.00;25.15
debInt=<=9an;44.55;91.14;34.40;0.00;23.34
crea1=crea1_--;36.43;98.71;45.55;0.00;22.87
mob2=mob2_--;35.86;96.57;45.27;0.00;21.62
inf5=inf5_--;35.80;91.55;43.00;0.00;19.87
etude=etude_Collège;53.87;44.69;13.95;0.00;15.21
ecrit=ecrit_jam;35.60;70.47;33.29;0.00;14.98
age=>=65;41.94;55.14;22.11;0.00;14.31
csp=csp_Retraité;39.87;55.60;23.45;0.00;13.80
prof=prof_Retraité;39.87;55.60;23.45;0.00;13.80
crea2=crea2_--;22.00;99.07;75.73;0.00;12.81
crea4=crea4_--;19.89;99.27;83.90;0.00;10.06
statFam=statFam_veuf;52.90;20.09;6.39;0.00;9.32
nbFoy=1p;29.31;46.17;26.48;0.00;8.32
revenu=revenu_< 1400;28.15;41.52;24.80;0.00;7.19
soc1=soc1_-;49.96;6.88;2.32;0.00;5.11
vie=vie_très difficile;30.66;15.06;8.26;0.00;4.55
vie=vie_difficile;25.79;25.38;16.55;0.00;4.39
aise=aise_--;50.55;4.52;1.50;0.00;4.04
ope1=ope1_comprend.pas;100.00;1.55;0.26;0.00;3.82
etude=etude_CAP-BEP;22.41;35.56;26.68;0.00;3.78
age=50-64;22.02;32.56;24.86;0.00;3.41
prof=prof_Agri;49.27;2.54;0.87;0.00;3.02
statFam=statFam_séparé;23.01;18.67;13.65;0.01;2.77
agglo=123;22.41;22.29;16.72;0.01;2.76
nbFoy=2p;20.02;39.73;33.36;0.01;2.66
