;Cla/Mod;Mod/Cla;Global;p.value;v.test
ope2=ope2_++;53.99;94.14;62.16;0.00;23.07
ope3=ope3_++;52.79;95.82;64.70;0.00;23.06
ope1=ope1_++;53.64;93.51;62.14;0.00;22.43
inf4=inf4_++;54.90;87.91;57.08;0.00;21.07
soc1=soc1_++;47.27;99.00;74.66;0.00;20.77
inf1=inf1_++;53.79;86.46;57.30;0.00;19.82
soc3=soc3_++;54.61;79.52;51.91;0.00;18.30
soc2=soc2_++;52.64;79.62;53.92;0.00;17.01
mob3=mob3_++;54.08;75.46;49.74;0.00;16.80
mob4=mob4_++;54.15;70.96;46.72;0.00;15.78
ope4=ope4_++;53.47;72.27;48.17;0.00;15.73
soc4=soc4_++;53.70;71.11;47.20;0.00;15.56
inf2=inf2_++;52.64;72.06;48.79;0.00;15.21
internaute=oui;41.18;99.70;86.30;0.00;14.95
mob1=mob1_++;52.28;65.57;44.71;0.00;13.56
crea3=crea3_+;62.55;32.34;18.43;0.00;11.38
crea1=crea1_+;63.79;28.26;15.79;0.00;10.71
crea1=crea1_-;59.73;23.05;13.75;0.00;8.47
aise=aise_+;45.56;58.55;45.82;0.00;8.21
inf3=inf3_++;47.23;43.95;33.17;0.00;7.29
mob2=mob2_++;47.63;41.99;31.43;0.00;7.22
debInt=]12,16]an;49.88;28.56;20.41;0.00;6.35
inf3=inf3_+;46.68;38.10;29.09;0.00;6.29
age=25-34;50.74;23.15;16.27;0.00;5.87
aise=aise_++;46.07;36.19;28.00;0.00;5.78
crea4=crea4_--;38.10;89.67;83.90;0.00;5.20
nbFoy=3-4p;43.32;38.79;31.92;0.00;4.72
debInt=>=17an;45.54;26.69;20.89;0.00;4.54
crea2=crea2_--;38.43;81.65;75.73;0.00;4.51
etude=etude_SupLong;44.82;28.00;22.27;0.00;4.46
ecrit=ecrit_jour;47.67;19.25;14.39;0.00;4.42
csp=csp_CSP+;43.39;33.79;27.76;0.00;4.25
inf5=inf5_+;47.10;18.64;14.10;0.00;4.15
crea2=crea2_-;50.78;12.60;8.85;0.00;4.12
prof=prof_Profint;46.89;19.16;14.56;0.00;4.07
inf5=inf5_-;49.33;12.79;9.24;0.00;3.90
inf5=inf5_++;42.56;32.95;27.60;0.00;3.84
etude=etude_SupCourt;45.13;21.70;17.14;0.00;3.81
statFam=statFam_pacsé;54.92;7.32;4.75;0.00;3.80
mob2=mob2_-;50.38;9.68;6.85;0.00;3.54
age=35-49;41.83;30.65;26.12;0.00;3.25
revenu=revenu_> 4000;47.49;11.14;8.36;0.00;3.25
agglo=67;40.93;34.77;30.28;0.00;3.14
crea3=crea3_-;46.18;12.51;9.65;0.00;3.12
prof=prof_Employé;43.24;20.51;16.91;0.00;3.00
csp=csp_CSP-;39.50;46.37;41.85;0.00;2.99
