;Cla/Mod;Mod/Cla;Global;p.value;v.test
mob4=mob4_+;64.38;69.45;12.34;0.00;21.86
mob3=mob3_+;60.50;68.71;12.99;0.00;21.17
mob1=mob1_+;58.16;58.83;11.57;0.00;18.60
soc3=soc3_+;58.93;56.69;11.00;0.00;18.35
ope2=ope2_+;49.84;58.77;13.48;0.00;17.16
inf4=inf4_+;40.45;67.96;19.21;0.00;16.94
ope1=ope1_+;43.08;58.59;15.55;0.00;15.83
ope3=ope3_+;49.88;48.20;11.05;0.00;15.19
soc2=soc2_+;48.67;48.28;11.34;0.00;14.99
soc4=soc4_+;39.85;56.19;16.13;0.00;14.69
inf2=inf2_+;31.63;69.22;25.02;0.00;14.68
inf1=inf1_+;33.81;65.15;22.03;0.00;14.63
mob2=mob2_+;43.41;51.79;13.64;0.00;14.58
ope4=ope4_+;47.34;46.20;11.16;0.00;14.25
inf3=inf3_+;25.47;64.79;29.09;0.00;11.54
inf5=inf5_+;33.27;41.04;14.10;0.00;10.48
aise=aise_+;19.57;78.42;45.82;0.00;10.25
crea3=crea3_+;28.70;46.26;18.43;0.00;10.00
soc1=soc1_+;40.43;29.10;8.23;0.00;9.91
internaute=oui;13.06;98.55;86.30;0.00;6.67
crea1=crea1_-;24.23;29.14;13.75;0.00;6.39
crea3=crea3_-;27.67;23.36;9.65;0.00;6.35
crea1=crea1_+;22.71;31.35;15.79;0.00;6.03
soc4=soc4_-;25.53;15.20;6.81;0.00;4.69
mob2=mob2_-;25.55;15.30;6.85;0.00;4.65
debInt=]9,12]an;17.36;36.89;24.30;0.00;4.33
inf5=inf5_-;20.83;16.83;9.24;0.00;3.71
ope4=ope4_-;21.75;12.90;6.78;0.00;3.54
ecrit=ecrit_sem;17.39;24.15;15.88;0.00;3.38
prof=prof_Employé;17.12;25.31;16.91;0.00;3.25
inf3=inf3_-;17.26;21.99;14.56;0.00;3.06
age=35-49;15.07;34.42;26.12;0.00;2.87
mob1=mob1_nsp;73.93;1.33;0.21;0.01;2.77
etude=etude_REF;71.99;1.31;0.21;0.01;2.77
mob1=mob1_-;20.46;10.93;6.11;0.01;2.75
etude=etude_Bac;15.42;26.57;19.70;0.01;2.59
